season,date,team1,team2,name1,name2,neutral,playoff,score1,score2,result1,cc_final,elo1_pre,elo2_pre,prob1,elo1_post,elo2_post,champ
1997,"1997-08-02","LVA","HOU","Utah Starzz","Houston Comets",0,0,74,63,1,0,1364.327385654561,1610.806178514877,0.2772128882623963,1391.237591053856,1583.8959731155821,""
1997,"1997-08-03","LAS","CHA","Los Angeles Sparks","Charlotte Sting",0,0,70,77,0,0,1490.951003299116,1525.1264415220312,0.565567085240415,1478.1001441383426,1537.9773006828048,""
1997,"1997-08-04","PHO","SAC","Phoenix Mercury","Sacramento Monarchs",0,0,83,60,1,0,1511.5898855939924,1363.605234105922,0.7879120040537831,1521.33295719216,1353.8621625077544,""
1997,"1997-08-04","LVA","CHA","Utah Starzz","Charlotte Sting",0,0,73,70,1,0,1391.237591053856,1537.9773006828048,0.4051180078563649,1398.2509021711244,1530.9639895655364,""
1997,"1997-08-05","CLE","HOU","Cleveland Rockers","Houston Comets",0,0,66,76,0,0,1560.881842161745,1583.8959731155821,0.5812816798409262,1543.1088415156103,1601.6689737617169,""
1997,"1997-08-05","NYL","LAS","New York Liberty","Los Angeles Sparks",0,0,50,67,0,0,1572.7120291477554,1478.1001441383426,0.7320692984460538,1533.7302215247964,1517.0819517613013,""
1997,"1997-08-06","PHO","LVA","Phoenix Mercury","Utah Starzz",0,0,78,46,1,0,1521.33295719216,1398.2509021711244,0.7629704131869083,1535.8031303715109,1383.7807289917735,""
1997,"1997-08-06","SAC","CHA","Sacramento Monarchs","Charlotte Sting",0,0,77,64,1,0,1353.8621625077544,1530.9639895655364,0.3637874241693648,1378.900755808311,1505.9253962649798,""
1997,"1997-08-07","CLE","LAS","Cleveland Rockers","Los Angeles Sparks",0,0,84,87,0,0,1543.1088415156103,1517.0819517613013,0.6480183201695965,1535.1406887814528,1525.0501044954588,""
1997,"1997-08-07","HOU","PHO","Houston Comets","Phoenix Mercury",0,0,74,70,1,0,1601.6689737617169,1535.8031303715109,0.6983959816599596,1605.3286554972683,1532.1434486359594,""
1997,"1997-08-08","SAC","LVA","Sacramento Monarchs","Utah Starzz",0,0,93,78,1,0,1378.900755808311,1383.7807289917735,0.6064527386368607,1393.5365051054202,1369.1449796946642,""
1997,"1997-08-09","CHA","PHO","Charlotte Sting","Phoenix Mercury",0,0,79,59,1,0,1505.9253962649798,1532.1434486359594,0.5767861036606184,1526.1311287383628,1511.9377161625764,""
1997,"1997-08-09","HOU","LAS","Houston Comets","Los Angeles Sparks",0,0,72,71,1,0,1605.3286554972683,1525.0501044954588,0.7155792107148963,1606.453218013072,1523.925541979655,""
1997,"1997-08-10","SAC","NYL","Sacramento Monarchs","New York Liberty",0,0,76,69,1,0,1393.5365051054202,1533.7302215247964,0.4142307183825771,1407.0456611179027,1520.221065512314,""
1997,"1997-08-11","CHA","HOU","Charlotte Sting","Houston Comets",0,0,62,72,0,0,1526.1311287383628,1606.453218013072,0.4995364764061875,1511.7153967940965,1620.8689499573384,""
1997,"1997-08-11","LVA","CLE","Utah Starzz","Cleveland Rockers",0,0,59,74,0,0,1369.1449796946642,1535.1406887814528,0.378709088599856,1355.1995444304746,1549.0861240456425,""
1997,"1997-08-12","HOU","LVA","Houston Comets","Utah Starzz",0,0,76,56,1,0,1620.8689499573384,1355.1995444304746,0.8797254739837336,1625.3839613589807,1350.6845330288322,""
1997,"1997-08-12","PHO","NYL","Phoenix Mercury","New York Liberty",0,0,77,67,1,0,1511.9377161625764,1520.221065512314,0.6017672781523511,1522.6784459028263,1509.480335772064,""
1997,"1997-08-12","SAC","CLE","Sacramento Monarchs","Cleveland Rockers",0,0,81,76,1,0,1407.0456611179027,1549.0861240456425,0.4116536141284888,1417.4321487659727,1538.6996363975725,""
